42;IES EMILIO JIMENO;ZARAGOZA
43;IES LEONARDO DE CHABACIER;ZARAGOZA
44;IES JOAQUIN COSTA;ZARAGOZA
47;IES REYES CATOLICOS;ZARAGOZA
48;IES RODANAS;ZARAGOZA
49;IES BENJAMIN JARNES;ZARAGOZA
50;IES SIERRA DE LA VIRGEN;ZARAGOZA
51;IES CABAÑAS;ZARAGOZA
52;IES SIGLO XXI;ZARAGOZA
54;IES TUBALCAÍN;ZARAGOZA
56;IES PEDRO CERRADA;ZARAGOZA
58;IES ANDALAN;ZARAGOZA
59;CFPE ARSENIO JIMENO;ZARAGOZA
60;ARTE-MISS ZARAGOZA 1;ZARAGOZA
93;EFA EL POBLADO;HUESCA
94;I.F. AGROAMBIENTAL DE JACA;HUESCA
95;CPC SANTA MARIA;HUESCA
96;CES SANTO DOMINGO SAVIO;HUESCA
97;CPC NTRA. SRA. DE GUAYENTE;HUESCA
98;IFPE ESCUELA DE HOSTELERIA DE TERUEL;TERUEL
99;CPC ALAUN;ZARAGOZA
100;EFA BOALARES;ZARAGOZA
101;CPC SALES. LAVIAGA CASTILLO;ZARAGOZA
102;C SANTA AGATOCLIA;ZARAGOZA
20;CEE LA ALEGRÍA;HUESCA
116;CES SAN VICENTE DE PAÚL;ZARAGOZA
117;O. D. SANTO DOMINGO DE SILOS;ZARAGOZA
118;EFA EL SALTO;ZARAGOZA
45;IES MAR DE ARAGÓN;ZARAGOZA
53;ESCUELAS CENETED;ZARAGOZA
46;IES CINCO VILLAS;ZARAGOZA
121;IES PRUEBA;ZARAGOZA
1;IES SOBRARBE;HUESCA
15;IES RAMÓN Y CAJAL;HUESCA
13;CPIFP MONTEARAGÓN;HUESCA
57;ALFRED;ZARAGOZA
36;IES SANTA EMERENCIANA;TERUEL
22;IES BIELLO ARAGON;HUESCA
7;IES BAJO CINCA;HUESCA
55;IES RÍO ARBA;ZARAGOZA
41;IES JUAN DE LANUZA;ZARAGOZA
12;ESC ESCUELA DE ARTE;HUESCA
161;CETEFA (FEDERACIÓN ARAGONESA DE FÚTBOL);ZARAGOZA
181;AYUNTAMIENTO DE FRAGA;HUESCA
182;AYUNTAMIENTO DE HUESCA;HUESCA
561;PIRAMIDEFCT2012;HUESCA
621;AYUNTAMIENTO DE TERUEL;TERUEL
61;IES AVEMPACE;ZARAGOZA
62;CPEA CASA DEL CANAL;ZARAGOZA
63;CPEA CONCEPCIÓN ARENAL;ZARAGOZA
110;CPC LA SALLE SANTO ÁNGEL;ZARAGOZA
112;CPC PADRE ENRIQUE DE OSSÓ;ZARAGOZA
113;CPC PLUS ULTRA;ZARAGOZA
111;CES MARÍA AUXILIADORA;ZARAGOZA
114;CES SALESIANO NTRA. SRA. DEL PILAR;ZARAGOZA
16;CPIFP SAN LORENZO;HUESCA
17;IES SIERRA DE GUARA;HUESCA
18;IES DOMINGO MIRAL;HUESCA
19;IES PIRINEOS;HUESCA
741;CPC SAN GABRIEL OLD;ZARAGOZA
761;CPC LA SALLE - SAN JOSÉ;TERUEL
781;NTRA. SRA. DEL CARMEN Y SAN JOSÉ;ZARAGOZA
801;IES PABLO GARGALLO;ZARAGOZA
105;CPC COLEGIO MONTESSORI;ZARAGOZA
106;CEFP CONDES DE ARAGÓN;ZARAGOZA
107;CPC EL BUEN PASTOR;ZARAGOZA
115;CES SAN VALERO;ZARAGOZA
662;IES SAN ALBERTO MAGNO;HUESCA
642;IES VALLE DEL GUADALOPE DE CALANDA;TERUEL
702;ESCUELA DE ENSEÑANAZAS DEPORTIVAS PARQUE DEL AGUA;ZARAGOZA
682;IES LOBETANO ( ALBARRACÍN );TERUEL
